Sample,TotalPESeqs,Chr1-5,mitochondria,chloroplast
wt_a4_4h_1,48763430,14.5177,2.8874,73.2697
wt_a4_4h_2,51988698,12.6177,2.5667,71.7041
wt_kv_4h_1,38481516,12.44,3.28038,75.1964
wt_kv_4h_2,44163555,12.6655,2.35418,70.9955
wt_mk_4h_1,39892807,11.443,3.63372,82.0751
wt_mk_4h_2,34961586,12.9374,3.29364,79.8455
wt_un_1,35218781,14.239,3.48071,78.6559
wt_un_2,37960314,19.8751,3.67559,71.5025
setikv_e2_1,71255918,21.9793,3.63791,69.0036
setikv_e2_2,62756969,15.5887,3.82652,78.2642
setikv_mk_1,79608740,27.6915,3.66952,65.1343
setikv_mk_2,73083187,14.632,3.8128,77.2469
setikv_un_1,60192015,17.8008,3.75101,74.6218
setikv_un_2,62342883,15.7265,3.68132,74.9505
setiwt_e2_1,40506513,17.712,3.54207,70.1628
setiwt_e2_2,51130606,15.8542,3.76778,77.2169
setiwt_e2_3,44579728,18.0504,3.50405,75.9003
setiwt_mk_1,43163268,20.1743,3.65666,68.3324
setiwt_mk_2,49449962,14.2581,3.69713,77.5081
setiwt_mk_3,46480919,16.6092,3.51737,77.5715
setiwt_un_1,42624311,16.4038,3.15186,55.1485
setiwt_un_2,53319380,16.0344,3.77189,75.2376
setiwt_un_3,47267669,16.5505,3.64398,77.1022
