Sample,TotalPESeqs,Chr1-5,mitochondria,chloroplast
wt_a4_4h_1,48763430,7079332,1407996,35728821
wt_a4_4h_2,51988698,6559787,1334395,37278008
wt_kv_4h_1,38481516,4787100,1262340,28936701
wt_kv_4h_2,44163555,5593543,1039688,31354133
wt_mk_4h_1,39892807,4564921,1449594,32742057
wt_mk_4h_2,34961586,4523123,1151509,27915238
wt_un_1,35218781,5014794,1225862,27701639
wt_un_2,37960314,7544653,1395265,27142575
setikv_e2_1,71255918,15661587,2592227,49169145
setikv_e2_2,62756969,9782991,2401409,49116211
setikv_mk_1,79608740,22044841,2921258,51852557
setikv_mk_2,73083187,10693523,2786518,56454502
setikv_un_1,60192015,10714673,2257811,44916365
setikv_un_2,62342883,9804323,2295042,46726285
setiwt_e2_1,40506513,7174521,1434769,28420520
setiwt_e2_2,51130606,8106331,1926488,39481492
setiwt_e2_3,44579728,8046841,1562097,33836148
setiwt_mk_1,43163268,8707874,1578333,29494513
setiwt_mk_2,49449962,7050629,1828230,38327703
setiwt_mk_3,46480919,7720129,1634905,36055954
setiwt_un_1,42624311,6991989,1343459,23506658
setiwt_un_2,53319380,8549467,2011149,40116235
setiwt_un_3,47267669,7823018,1722426,36444413
