Sample,TotalSeqs,Chr1,Chr2,Chr3,Chr4,Chr5,mitochondria,chloroplast
wt_a4_4h_1,48763430,3115298,3754496,2667894,1903212,2717764,2815992,71457642
wt_a4_4h_2,51988698,2958778,3515810,2297876,1837796,2509314,2668790,74556016
wt_kv_4h_1,38481516,2084526,2812518,1698840,1242154,1736162,2524680,57873402
wt_kv_4h_2,44163555,2446236,2896976,2062464,1589228,2192182,2079376,62708266
wt_mk_4h_1,39892807,1887488,2928636,1557830,1138954,1616934,2899188,65484114
wt_mk_4h_2,34961586,1911068,2616246,1579534,1215160,1724238,2303018,55830476
wt_un_1,35218781,2155346,2871236,1812796,1310600,1879610,2451724,55403278
wt_un_2,37960314,3354438,3895554,2718224,2171964,2949126,2790530,54285150
setikv_e2_1,71255918,7063966,7766492,5820112,4438672,6233932,5184454,98338290
setikv_e2_2,62756969,4188920,5627134,3410950,2635324,3703654,4802818,98232422
setikv_mk_1,79608740,10177748,10357108,8146210,6412632,8995984,5842516,103705114
setikv_mk_2,73083187,4526868,6270880,3704922,2909274,3975102,5573036,112909004
setikv_un_1,60192015,4703134,5823802,3885322,2866172,4150916,4515622,89832730
setikv_un_2,62342883,4325864,5518152,3517238,2591816,3655576,4590084,93452570
setiwt_e2_1,40506513,3168284,3846706,2546804,1990806,2796442,2869538,56841040
setiwt_e2_2,51130606,3501132,4645298,2798406,2140388,3127438,3852976,78962984
setiwt_e2_3,44579728,3618374,4228906,2871940,2228286,3146176,3124194,67672296
setiwt_mk_1,43163268,3894402,4494928,3066510,2444816,3515092,3156666,58989026
setiwt_mk_2,49449962,3054014,4169434,2362240,1819102,2696468,3656460,76655406
setiwt_mk_3,46480919,3492954,4145424,2748912,2065470,2987498,3269810,72111908
setiwt_un_1,42624311,3141108,3711510,2509412,1881836,2740112,2686918,47013316
setiwt_un_2,53319380,3699852,4833482,2994386,2258260,3312954,4022298,80232470
setiwt_un_3,47267669,3480604,4314358,2784936,2052414,3013724,3444852,72888826
